,position,company,state,salary,currency,start_sal,end_sal,term
176,Senior Buyer / Supply Chain Executive,SIHI Pumps (Malaysia) Sdn Bhd,Kajang/Bangi/Serdang,MYR 5K - 6.4K monthly,MYR,5000,6400,monthly
177,Admin Executive (Fresh Grad Welcome | Global Company | Near LRT),TWY Search International (M) Sdn Bhd,Petaling Jaya,MYR 2.5K - 3K monthly,MYR,2500,3000,monthly
180,Admin Clerk,WM ENGINEERING CONSTRUCTION SDN. BHD.,Johor Bahru,MYR 1.8K - 2.2K monthly,MYR,1800,2200,monthly
181,Accountant,Best88 Co. Ltd.,Labuan,MYR 2.5K - 5K monthly,MYR,2500,5000,monthly
182,Sales Admin cum Accountant,Brownland,Kuala Lumpur,MYR 3.5K - 5K monthly,MYR,3500,5000,monthly
184,Telemarketing Executive,AR ADVANCE SDN BHD,Puchong,MYR 1.5K - 2.8K monthly,MYR,1500,2800,monthly
187,TV Planning & Sales Management,WOWSHOP SDN BHD,Kuala Lumpur,MYR 4.6K - 6.7K monthly,MYR,4600,6700,monthly
188,"Head, Data Analyst",WOWSHOP SDN BHD,Kuala Lumpur,MYR 7.5K - 11K monthly,MYR,7500,1000,monthly
189,HR Administration Executive,9 HEALTH SDN BHD,Kuala Lumpur,MYR 2K - 2.5K monthly,MYR,2000,2500,monthly
192,Account Executive,Siang Pharmacy Sdn Bhd,Penang - Others,MYR 3.5K - 4.5K monthly,MYR,3500,4500,monthly
193,Office Manager,Splendid Floriculture Sdn Bhd,Cameron Highlands,MYR 3K - 4.2K monthly,MYR,3000,4200,monthly
197,Hostel Warden,Plastictecnic (M) Sdn Bhd,"Nilai, Selangor",MYR 2K - 2.8K monthly,MYR,2000,2800,monthly
200,HR Manager,J&T EXPRESS (MALAYSIA) SDN. BHD. - Johor,Johor,MYR 8K - 12K monthly,MYR,8000,1000,monthly
204,Management Executive,Thong Thye Siang Sdn Bhd,Selangor,MYR 2.5K - 3.8K monthly,MYR,2500,3800,monthly
205,E-Commerce Executive,Dibea Malaysia Sdn. Bhd.,Johor,MYR 2.5K - 4K monthly,MYR,2500,4000,monthly
209,"Executive, Environmental Safety & Health - Glove Manufacturing",Mah Sing Group Berhad,Kuala Lumpur,MYR 3K - 4K monthly,MYR,3000,4000,monthly
213,Supervisor-Planning,S.A NETWORKS TECHNICAL INDUSTRIES SDN BHD,Shah Alam/Subang,MYR 1.6K - 2K monthly,MYR,1600,2000,monthly
